category,extra,message,severity,source,time,title,traceback
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for BRETT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:03:11,Market-data worker fetch failed for BRETT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for COMP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:03:17,Market-data worker fetch failed for COMP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_scanner_runtime', 'funcName': 'refresh_symbol', 'lineno': 302}",Scanner refresh temporary failure for COAI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:03:43,Scanner refresh temporary failure for COAI-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for LINEA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:03:43,Market-data worker fetch failed for LINEA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for NOT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:03:56,Market-data worker fetch failed for NOT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_scanner_runtime', 'funcName': 'refresh_symbol', 'lineno': 302}",Scanner refresh temporary failure for GMT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:03:58,Scanner refresh temporary failure for GMT-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for QTUM-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:03:58,Market-data worker fetch failed for QTUM-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_scanner_runtime', 'funcName': 'refresh_symbol', 'lineno': 302}",Scanner refresh temporary failure for HBAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:04:00,Scanner refresh temporary failure for HBAR-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for RESOLV-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:04:00,Market-data worker fetch failed for RESOLV-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for SYRUP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:04:13,Market-data worker fetch failed for SYRUP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_scanner_runtime', 'funcName': 'refresh_symbol', 'lineno': 302}",Scanner refresh temporary failure for KSM-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:04:13,Scanner refresh temporary failure for KSM-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for XPL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:04:18,Market-data worker fetch failed for XPL-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for XRP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:04:19,Market-data worker fetch failed for XRP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for ZBCN-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:04:23,Market-data worker fetch failed for ZBCN-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for INJ-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:07:19,Market-data worker fetch failed for INJ-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'WARNING', 'module': 'main_v104', 'funcName': 'manage_open_positions', 'lineno': 2801}",Manage failed for MAGIC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:07:19,Manage failed for MAGIC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for SAND-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:07:38,Market-data worker fetch failed for SAND-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for SYRUP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:07:43,Market-data worker fetch failed for SYRUP-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_scanner_runtime', 'funcName': 'refresh_symbol', 'lineno': 302}",Scanner refresh temporary failure for ENA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:07:43,Scanner refresh temporary failure for ENA-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for TON-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:07:43,Market-data worker fetch failed for TON-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for AUCTION-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:07:49,Market-data worker fetch failed for AUCTION-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_scanner_runtime', 'funcName': 'refresh_symbol', 'lineno': 302}",Scanner refresh temporary failure for BIO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:08:09,Scanner refresh temporary failure for BIO-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for BOME-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:08:09,Market-data worker fetch failed for BOME-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
network,"{'logger': 'root', 'level': 'ERROR', 'module': 'market_data_cache', 'funcName': '_run', 'lineno': 114}",Market-data worker fetch failed for ETC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,WARNING,logging:root,2026-03-24 22:08:20,Market-data worker fetch failed for ETC-USDT-SWAP: [WinError 10035] Операция на незаблокированном сокете не может быть завершена немедленно,
